id;category;trigger_type;trigger_field;trigger_value_min;trigger_value_max;trigger_2_type;trigger_2_field;trigger_2_value_min;trigger_2_value_max;text;recommendation
rhythm_1;rhythm;exact;rhythm_type;morning_lark;;;;;;Ты - жаворонок. А значит твоя продуктивность на пике в первой половине дня. Вечером мозг отдыхает — и это нормально.;В дальнейшем планируй самые сложные темы на утро - это твоё золотое время.
rhythm_2;rhythm;exact;rhythm_type;night_owl;;;;;;Ты - сова. Вечером твой мозг работает особенно хорошо. Утром не торопись — дай себе время раскачаться.;В дальнейшем оставь сложные темы на вечер. Утро посвяти лёгкому повторению.
rhythm_3;rhythm;range;avg_minutes_per_day;90;999;;;;;Ты любишь длинные марафонские сессии. Когда входишь в поток - тебя не остановить.;В дальнейшем попробуй разбивать длинные сессии на блоки по 25 минут с 5-минутными перерывами. Это снизит усталость.
rhythm_4;rhythm;range;avg_minutes_per_day;1;29;;;;;Ты - спринтер. Короткие, но частые подходы в твоем стиле. Это отличная стратегия для удержания внимания.;В дальнейшем попробуй иногда устраивать глубокое погружение на 60–90 минут для самых сложных тем.
weekday_1;weekday;exact;most_active_day;Monday;;;;;;Понедельник - лучший день для новых свершений. Именно в этот день твоя продуктивность максимальна.;В дальнейшем планируй новые и сложные темы именно на понедельник - твоя эффективность в этот день на пике.
weekday_2;weekday;exact;most_active_day;Tuesday;;;;;;Вторник для тебя - день стабильности. Ты уже вошёл в ритм, но ещё не устал. В этот день ты работаешь ровно и без провалов.;Используй вторник для задач, которые требуют спокойного размышления. Это идеальный день для сложных, но не срочных тем.
weekday_3;weekday;exact;most_active_day;Wednesday;;;;;;В среду ты на пике! К середине недели ты разгоняешься и выдаёшь максимум: больше всего просмотров и решений приходится именно на этот день.;Планируй самые ответственные задачи на среду. Понедельник и вторник оставь для разминки и повторения.
weekday_4;weekday;exact;most_active_day;Thursday;;;;;;Четверг - день ускорения. Ты чувствуешь, что неделя почти закончена, и выдаёшь финальный спринт.;Используй четверг для завершения начатого. Не начинай новое - доделывай задачи, которые висят с начала недели.
weekday_5;weekday;exact;most_active_day;Friday;;;;;;По пятницам ты бьешь рекорды. Именно в этот день ты решаешь больше всего задач и набираешь максимум баллов.;Оставляй самые сложные задачи на пятницу. Ты справляешься с ними лучше всего именно в этот день.
weekday_6;weekday;exact;most_active_day;Saturday;;;;;;Суббота - день погружения. В выходные ты можешь себе позволить длительные сессии без отвлечений.;Используй субботу для глубокого изучения новых тем. В будни оставь повторение и лёгкие задачи.
weekday_7;weekday;exact;most_active_day;Sunday;;;;;;Воскресенье - день завершения. Ты закрываешь неделю мощным аккордом, доделывая всё, что не успел.;Используй воскресенье для повторения всего, что прошёл за неделю. Это закрепит знания и подготовит к новой неделе.
weekday_8;weekday;exact;activity_type;Король будней;;;;;;Ты особенно активно учишься в будни. В выходные ты отдыхаешь - и это правильный баланс для учёбы.;В дальнейшем продолжай в том же духе: всё новое - в будни, выходные - для восстановления.
weekday_9;weekday;exact;activity_type;Гибкий поток;;;;;;Твоя активность равномерно распределена по всем дням недели. Ты не привязан к расписанию -  и это работает.;В дальнейшем попробуй добавить немного регулярности - например, закрепить за одним днём недели обязательный час учёбы.
