user_id,total_sessions,most_active_days,most_active_slogans,weekday_percent,weekend_percent,activity_type,activity_slogan
672661,139,Суббота (⚔️ Уикенд-воин),Суббота: Выходные — моя боевая готовность. Главные битвы в субботу.,52.5,47.5,🌊 Гибкий поток,Учусь когда хочу. График не властен надо мной.
671753,63,Воскресенье (⚔️ Уикенд-воин),Воскресенье: Выходные — моя боевая готовность. Главные битвы в воскресенье.,58.7,41.3,🌊 Гибкий поток,Учусь когда хочу. График не властен надо мной.
667623,57,Воскресенье (⚔️ Уикенд-воин),Воскресенье: Выходные — моя боевая готовность. Главные битвы в воскресенье.,63.2,36.8,🏢 Король будней,В будни я в тонусе. Учебный ритм — моё всё.
665767,27,Пятница (🎮 Финальный босс),Пятница: В пятницу становлюсь легендой. Побеждаю главные вызовы недели.,77.8,22.2,🏢 Король будней,В будни я в тонусе. Учебный ритм — моё всё.
669160,22,Пятница (🎮 Финальный босс),Пятница: В пятницу становлюсь легендой. Побеждаю главные вызовы недели.,59.1,40.9,🌊 Гибкий поток,Учусь когда хочу. График не властен надо мной.
665788,8,Понедельник (🔋 Энерджайзер),Понедельник: Задаю тон неделе. Заряжаюсь с понедельника.,87.5,12.5,🏢 Король будней,В будни я в тонусе. Учебный ритм — моё всё.
674171,7,Пятница (🎮 Финальный босс),Пятница: В пятницу становлюсь легендой. Побеждаю главные вызовы недели.,100.0,0.0,🏢 Король будней,В будни я в тонусе. Учебный ритм — моё всё.
667888,6,Вторник (🧘 Дзен-мастер),Вторник: Середина недели — моя зона комфорта. Работаю без стресса.,100.0,0.0,🏢 Король будней,В будни я в тонусе. Учебный ритм — моё всё.
670642,5,Вторник (🧘 Дзен-мастер),Вторник: Середина недели — моя зона комфорта. Работаю без стресса.,100.0,0.0,🏢 Король будней,В будни я в тонусе. Учебный ритм — моё всё.
668076,2,"Вторник (🧘 Дзен-мастер), Суббота (⚔️ Уикенд-воин)",Вторник: Середина недели — моя зона комфорта. Работаю без стресса. | Суббота: Выходные — моя боевая готовность. Главные битвы в субботу.,50.0,50.0,🌊 Гибкий поток,Учусь когда хочу. График не властен надо мной.
